Company Name,Address,Phone Number,Website (Profile Link),Description,Contacted,Date Contacted,Response Received,Response Date,Notes
Engine Exchange (pty) Ltd,"Plot 1250 Haile Selassie Rd, P.O.Box 1242, Gaborone, Botswana",+267 395 2291,https://www.localbotswana.com/company/2292/Engine_Exchange_pty_Ltd,No description,No,,No,,
E S Enterprises T/a Affordable Auto Services,"Plot 10061, Nkrumah Rd, P.O.Box 1762, Gaborone, Botswana",+267 393 2860,https://www.localbotswana.com/company/2255/E_S_Enterprises_Ta_Affordable_Auto_Services,No description,No,,No,,
Europcar,"HEAD OFFICE, Gaborone, Botswana",+267 390 2280,https://www.localbotswana.com/company/1245/Europcar,No description,No,,No,,
Ewin Medical Services,"Maru-a-Pula Shopping Complex Above Choppies, P.O.Box 47127, Gaborone, Botswana",+267 319 0207,https://www.localbotswana.com/company/1757/Ewin_Medical_Services,No description,No,,No,,
Exhaust Warehouse,"Plot 1251 /52, Haile Selassie Rd, Madirelo Ext 6, P.O.Box 21805, Gaborone, Botswana",+267 393 7175,https://www.localbotswana.com/company/4744/Exhaust_Warehouse,No description,No,,No,,
Eyesave Optical,"Plot 3170 Morupule Dve (Along Nelson Mandela Highway), Gaborone, Botswana",+267 390 9079,https://www.localbotswana.com/company/8700/Eyesave_Optical,No description,No,,No,,
Ezee Financial Services (pty) Ltd,"Ezee Hse Ground Floor Plot 727/8 Rd, The Mall, Gaborone, Botswana",+267 390 6431,https://www.localbotswana.com/company/1657/Ezee_Financial_Services_pty_Ltd,No description,No,,No,,
Fb Technologies,"Plot 54015 Unit 7 Phase 4 Gaborone West, P.O.Box 4444, Botswana",+267 393 9965,https://www.localbotswana.com/company/5070/Fb_Technologies,No description,No,,No,,
F C Z Timbers,"Plot 21345, Phakalane, Gaborone, Botswana",+267 319 0994,https://www.localbotswana.com/company/4454/F_C_Z_Timbers,No description,No,,No,,
Fedics Cleaning Services Botswana,"Gaborone, Botswana",+267 397 4337,https://www.localbotswana.com/company/1451/Fedics_Cleaning_Services_Botswana,No description,No,,No,,
Fergmoir Investments (pty) Ltd,"Plot 50673, P.O.Box 25049, Gaborone, Botswana",+267 318 0069,https://www.localbotswana.com/company/3601/Fergmoir_Investments_pty_Ltd,No description,No,,No,,
Field Projects (construction Company),"Plot 20758 Block 3, Broadhurst, P.O.Box 401712, Gaborone, Botswana",+267 390 2111,https://www.localbotswana.com/company/7739/Field_Projects_construction_Company,No description,No,,No,,
Fine Wines (pty) Ltd,"Plot 20688, Broadhurst, P.O.Box 402547, Gaborone, Botswana",+267 310 5304,https://www.localbotswana.com/company/7190/Fine_Wines_pty_Ltd,No description,No,,No,,
First Choice Technology (pty) Ltd,"Plot 22091 101 Unit 4/D/2 Western Industrial Estates Gaborone West Phase 4 Industrial, Gaborone West, P.O.Box 201694, Botswana",+267 318 7840,https://www.localbotswana.com/company/3831/First_Choice_Technology_pty_Ltd,No description,No,,No,,
Fleet Control,"Plot 170 Mmadesikwe Tlokweng, P.O.Box 40294, Gaborone, Botswana",+267 397 2457,https://www.localbotswana.com/company/1630/Fleet_Control,No description,No,,No,,
Fluid Systems (botswana) (pty) Ltd,"Plot 10225, Moporoporo Rd, Broadhurst Ind Est, Gaborone, Botswana",+267 391 2879,https://www.localbotswana.com/company/5231/Fluid_Systems_botswana_pty_Ltd,No description,No,,No,,
No name,No address,,,No description,No,,No,,
Formula One Motors,"P.O.Box 1380, Gaborone, Botswana",+267 393 9941,https://www.localbotswana.com/company/5463/Formula_One_Motors,No description,No,,No,,
Freshair Technologies (pty) Ltd,"Plot 1017 Behind Kagiso Centre, Mogoditshane, P.O.Box 403573, Gaborone, Botswana",+267 393 5264,https://www.localbotswana.com/company/1377/Freshair_Technologies_pty_Ltd,No description,No,,No,,
Gaborone Garage,"Station Rd, Madirelo Ext 6, P.O.Box 35, Gaborone, Botswana",+267 395 2056,https://www.localbotswana.com/company/1112/Gaborone_Garage,No description,No,,No,,
Gaborone Autoworld,"Plot 1284, Old Lobatse Rd, P.O.Box 821, Gaborone, Botswana",+267 362 6800,https://www.localbotswana.com/company/2232/Gaborone_Autoworld,No description,No,,No,,
G B K Architects,"PLOT 54353, MASA CENTRE, CNR WESTERN COMMERCIAL ROAD & KHAMA     CRESCENT EXTENTION, NEW CBD, P.O.Box 46301 Gaborone, Botswana",+267 391 9227,https://www.localbotswana.com/company/7968/G_B_K_Architects,No description,No,,No,,
General Construction,"Plot 8772/3 Near Bontleng Primary School, Bontleng, P.O.Box 203226, Gaborone, Botswana",+267 390 3054,https://www.localbotswana.com/company/6692/General_Construction,No description,No,,No,,
Giam Shouts,"Lot 740 Phase IV Pure Drop, Tlokweng, P.O.Box 569, Gaborone, Botswana",+267 392 8093,https://www.localbotswana.com/company/5525/Giam_Shouts,No description,No,,No,,
Global Company Secretarial Services,"Plot 50669 1 Medical Mews, Fairgrounds, P.O.Box 30900, Gaborone, Botswana",+267 319 1359,https://www.localbotswana.com/company/2038/Global_Company_Secretarial_Services,No description,No,,No,,
Global Scientific,"Plot 28, Tlokweng Industrial, P.O.Box 403997, Gaborone, Botswana",+267 393 0704,https://www.localbotswana.com/company/5702/Global_Scientific,No description,No,,No,,
Global Business Development Solutions (pty) Ltd,"Plot 102 Unit13 Commerce Pk, P.O.Box 81207, Gaborone, Botswana",+267 319 1632,https://www.localbotswana.com/company/6152/Global_Business_Development_Solutions_pty_Ltd,No description,No,,No,,
Goksel Leather Botswana (pty) Ltd,"Plot 86 Unit 6 Gaborone International Commerce Park, Botswana",+267 393 3933,https://www.localbotswana.com/company/7395/Goksel_Leather_Botswana_pty_Ltd,No description,No,,No,,
Golden Shell Investment,"Phakalane, P.O.Box 403601, Gaborone, Botswana",+267 318 5569,https://www.localbotswana.com/company/4089/Golden_Shell_Investment,No description,No,,No,,
Greenlight Chemicals (pty) Ltd,"P.O.Box 82287, Gaborone, Botswana",+267 317 0807,https://www.localbotswana.com/company/3779/Greenlight_Chemicals_pty_Ltd,No description,No,,No,,
Greyvon Refrigeration,"Plot 1241/1 Haile Selassie Rd, Old Ind Sites, P.O.Box 402763, Gaborone, Botswana",+267 317 0200,https://www.localbotswana.com/company/7636/Greyvon_Refrigeration,No description,No,,No,,
G T M Ceramic Tile Market,"Plot 14457 /7, Kamushongo Rd, Gaborone West I/Est, P.O.Box 202308, Botswana",+267 390 0266,https://www.localbotswana.com/company/7613/G_T_M_Ceramic_Tile_Market,No description,No,,No,,
Guns & Roses (pty) Ltd,"P.O.Box 1602, Gaborone, Botswana",+267 395 7921,https://www.localbotswana.com/company/799/Guns_Roses_pty_Ltd,No description,No,,No,,
Gurugroup,"Plot 50361 Block C, P.O.Box 1816, Gaborone, Botswana",+267 391 2805,https://www.localbotswana.com/company/6203/Gurugroup,No description,No,,No,,
Hall Dr Dental Surgery,"Shop 16 Maruapula Complex, P.O.Box 2110, Gaborone, Botswana",+267 318 4262,https://www.localbotswana.com/company/8567/Hall_Dr_Dental_Surgery,No description,No,,No,,
Haskins Tyres,"Stand 1225 Haile Selassie Rd, P.O.Box 222, Gaborone, Botswana",+267 395 1001,https://www.localbotswana.com/company/3123/Haskins_Tyres,No description,No,,No,,
Hazel Professional Services,"Block 3 Ind, Selemelo Ext 2, P.O.Box 41648, Gaborone, Botswana",+267 318 0043,https://www.localbotswana.com/company/6120/Hazel_Professional_Services,No description,No,,No,,
No name,No address,,,No description,No,,No,,
Hazellwood (pty) Ltd,"Plot 14468, Gaborone West I/Site, Botswana",+267 393 3012,https://www.localbotswana.com/company/7403/Hazellwood_pty_Ltd,No description,No,,No,,
Herbco Technical Services (pty) Ltd,"Plot 6372 Kgwale Rd Ext 22, Gaborone, Botswana",+267 397 3741,https://www.localbotswana.com/company/2056/Herbco_Technical_Services_pty_Ltd,No description,No,,No,,
Hiring I.T. Equipment,"Plot No 4716, Unit G75, Gaborone, Botswana",+2673922265,https://www.localbotswana.com/company/13051/Hiring_IT_Equipment,No description,No,,No,,
Hi-tech Cars,"Plot 5660 Cnr Kubu & Legolo Rds Broadhurst Industrial, P.O.Box 1660, Gaborone, Botswana",+267 350 0151,https://www.localbotswana.com/company/2429/Hi_tech_Cars,No description,No,,No,,
Huatswana (pty) Ltd,"Plot 291 Opp Mogoditshane Motors near Mogoditshane Circle, P.O.Box 1152, Gaborone, Botswana",+267 393 5749,https://www.localbotswana.com/company/1308/Huatswana_pty_Ltd,No description,No,,No,,
Hytess Group Of Companies (pty) Ltd,"Plot 332 Mogoditshane Industrial, Mogoditshane Ind, P.O.Box 201138, Gaborone, Botswana",+267 393 8892,https://www.localbotswana.com/company/7095/Hytess_Group_Of_Companies_pty_Ltd,No description,No,,No,,
Imperisecure,"Gaborone, Botswana",+267 397 5318,https://www.localbotswana.com/company/5081/Imperisecure,No description,No,,No,,
Imperilog Botswana (pty) Ltd,"Plot 173 Unit2 Commerce Pk, P.O.Box 10077, Gaborone, Botswana",+267 318 6556,https://www.localbotswana.com/company/5821/Imperilog_Botswana_pty_Ltd,No description,No,,No,,
Incredible Solutions (pty) Ltd,"Plot 73 Unit 3 G.I.C.P, P.O.Box 304, Gaborone, Botswana",+267 391 8514,https://www.localbotswana.com/company/4334/Incredible_Solutions_pty_Ltd,No description,No,,No,,
Indian Grace (pty) Ltd,"Plot 14466, Kamushongo Rd, Gaborone West I/Est, P.O.Box 4545, Botswana",+267 393 5445,https://www.localbotswana.com/company/4146/Indian_Grace_pty_Ltd,No description,No,,No,,
Infineon Pty Ltd,"Plot 1873/4 Suite F1 Pop-Inn Mall, Gaborone, Botswana",+267 390 7922,https://www.localbotswana.com/company/833/Infineon_Pty_Ltd,No description,No,,No,,
Info Botswana Internet Services (ibis),"Plot 14399, Gaborone West Ind, Botswana",+267 391 8444,https://www.localbotswana.com/company/6357/Info_Botswana_Internet_Services_ibis,No description,No,,No,,
Innovex Insurance Brokers,"Plot 1296 Zigour Motors., Mogoditshane, Gaborone, Botswana",+267 316 3159,https://www.localbotswana.com/company/1049/Innovex_Insurance_Brokers,No description,No,,No,,
Inovar Floor,"Western Bypass next to Met Sef, P.O.Box 202356, Gaborone, Botswana",+267 316 5772,https://www.localbotswana.com/company/7687/Inovar_Floor,No description,No,,No,,
Instant Tea Botswana (pty) Ltd,"Plot 2O743 Unit 17 Blk 3 Industrial, P.O.Box 80745, Gaborone, Botswana",+267 395 9970,https://www.localbotswana.com/company/5533/Instant_Tea_Botswana_pty_Ltd,No description,No,,No,,
Interface (pty) Ltd,"Plot 53/71 Unit 11 Commerce Park, Broadhurst, P.O.Box 2075, Gaborone, Botswana",+267 350 0107,https://www.localbotswana.com/company/764/Interface_pty_Ltd,No description,No,,No,,
Interafrika Courier Services,"Plot 14456 Unit 2 Kamushongo Rd Gaborone West, P.O.Box 80078, Botswana",+267 350 0201,https://www.localbotswana.com/company/5972/Interafrika_Courier_Services,No description,No,,No,,
It Solutions & Training,"Plot 131, Main Mall, P.O.Box 2087, Gaborone, Botswana",+267 390 3324,https://www.localbotswana.com/company/1693/It_Solutions_Training,No description,No,,No,,
Ivitsa Interiors (pty) Ltd,"Plot 20729 Block 3 Industrial, P.O.Box 60049, Gaborone, Botswana",+267 390 0539,https://www.localbotswana.com/company/3855/Ivitsa_Interiors_pty_Ltd,No description,No,,No,,
Jaf Auto,"P/Bag 0029/ 412, Mogoditshane, P.O.Box 550114, Gaborone, Botswana",+267 393 4329,https://www.localbotswana.com/company/2436/Jaf_Auto,No description,No,,No,,
No name,No address,,,No description,No,,No,,
Japs Security & Dog Training,"Plot 2005 Metsimotlhate, Gaborone, Botswana",+267 393 8939,https://www.localbotswana.com/company/1952/Japs_Security_Dog_Training,No description,No,,No,,
Jay Bee Associates Pty Ltd,"P.O.Box 40204, Gaborone, Botswana",+267 395 7715,https://www.localbotswana.com/company/7749/Jay_Bee_Associates_Pty_Ltd,No description,No,,No,,
Jims Farm Supplies (pty) Ltd,"Plot 14452, Kamushongo Rd, Gaborone West I/Est, P.O.Box 683, Botswana",+267 390 1236,https://www.localbotswana.com/company/4152/Jims_Farm_Supplies_pty_Ltd,No description,No,,No,,
Jiyuan Auto Trading,"Gaborone, Botswana",+267 395 8071,https://www.localbotswana.com/company/2229/Jiyuan_Auto_Trading,No description,No,,No,,
Joe's Electrical Contractors,"Plot 25, Tlokweng, P.O.Box 2480, Gaborone, Botswana",+267 318 6322,https://www.localbotswana.com/company/4917/Joes_Electrical_Contractors,No description,No,,No,,
John F Marshall,"Plot 14386, New Lobatse Rd, Gaborone West, P.O.Box 602069, Botswana",+267 391 8640,https://www.localbotswana.com/company/3858/John_F_Marshall,No description,No,,No,,
Jomaf Hiring Services,"Plot 21928, Legolo Rd, Broadhurst Ind Est, P.O.Box 47374, Gaborone, Botswana",+267 319 1585,https://www.localbotswana.com/company/1313/Jomaf_Hiring_Services,No description,No,,No,,
Josa Enterprises (pty) Ltd,"Plot 22039/2 Takatokwane Rd Gaborone West Industrial, Gaborone West, P.O.Box 601243, Botswana",+267 391 6571,https://www.localbotswana.com/company/4387/Josa_Enterprises_pty_Ltd,No description,No,,No,,
Josleb T/a Legadima Electrical,"Plot 22072/73 Gaborone Technology Pk, P.O.Box 50104, Botswana",+267 390 4190,https://www.localbotswana.com/company/4947/Josleb_Ta_Legadima_Electrical,No description,No,,No,,
Just Bricks,"Plot 51558, Gaborone West Ind, P.O.Box 46526, Botswana",+267 393 4555,https://www.localbotswana.com/company/3664/Just_Bricks,No description,No,,No,,
Kalahari Associates,"Plot 20638 Blk 3 Santawang Rd Broadhurst Industrial, P.O.Box 201684, Gaborone, Botswana",+267 395 3874,https://www.localbotswana.com/company/4307/Kalahari_Associates,No description,No,,No,,
Kalahari Game Services,"Plot 75, Sebina Cl, Badiri, P.O.Box 20497, Gaborone, Botswana",+267 395 9889,https://www.localbotswana.com/company/6665/Kalahari_Game_Services,No description,No,,No,,
Kays Consultancy & Secretarial Services,"Office 211, BBS House, BBS Mall, P.O.Box 202283, Gaborone, Botswana",+267 397 5592,https://www.localbotswana.com/company/2005/Kays_Consultancy_Secretarial_Services,No description,No,,No,,
Kebo Enterprises (pty) Ltd T/a Kebo Electrical,"Haile Selassie Rd Plot 1225 Unit 8, P.O.Box 403623, Gaborone, Botswana",+267 390 7869,https://www.localbotswana.com/company/4956/Kebo_Enterprises_pty_Ltd_Ta_Kebo_Electrical,No description,No,,No,,
Kelly Wye (pty) Ltd,"Unit H24 Market Plaza Station, P.O.Box 41520, Gaborone, Botswana",+267 395 9596,https://www.localbotswana.com/company/5784/Kelly_Wye_pty_Ltd,No description,No,,No,,
Keymax (pty) Ltd,"Plot 8881, African Mall, P.O.Box 403873, Gaborone, Botswana",+267 390 9751,https://www.localbotswana.com/company/5063/Keymax_pty_Ltd,No description,No,,No,,
Kgale Consulting Services,"Plot 2681 Ext 9 Phiri Cres, Gaborone, Botswana",+267 391 8318,https://www.localbotswana.com/company/6121/Kgale_Consulting_Services,No description,No,,No,,
Kia Enterprises Pty Ltd,"Plot 14447 Unit8, Gaborone West Ind, P.O.Box 1571, Botswana",+267 316 2731,https://www.localbotswana.com/company/5432/Kia_Enterprises_Pty_Ltd,No description,No,,No,,
Kim's Auto,"Plot 1046, Mogoditshane, Gaborone, Botswana",+267 397 5385,https://www.localbotswana.com/company/4631/Kims_Auto,No description,No,,No,,
Knock Out Cash & Carry,"Plot 5620, Kubu Rd, P.O.Box 166, Gaborone, Botswana",+267 390 5261,https://www.localbotswana.com/company/4676/Knock_Out_Cash_Carry,Affordable grocery shopping in Gaborone's cash and carry store.,No,,No,,
No name,No address,,,No description,No,,No,,
Kobe Trading,"Plot 1354, Mogoditshane, P.O.Box 150191, Gaborone, Botswana",+267 318 2794,https://www.localbotswana.com/company/2447/Kobe_Trading,No description,No,,No,,
K P M G,"Plot 61918 Off Tlokweng Rd Fairground Park, P.O.Box 1519, Gaborone, Botswana",+267 391 2400,https://www.localbotswana.com/company/6195/K_P_M_G,No description,No,,No,,
Ktu Express,"Plot 22072/3 Unit 6 Gaborone Technology Pk, Gaborone West, P.O.Box 502465, Botswana",+267 391 3331,https://www.localbotswana.com/company/1534/Ktu_Express,No description,No,,No,,
Kuto Holdings Co (pty) Ltd,"Plot 163/164 Market Gardens Unit 2 GICP, P.O.Box 46627, Gaborone, Botswana",+267 315 8463,https://www.localbotswana.com/company/6654/Kuto_Holdings_Co_pty_Ltd,No description,No,,No,,
Kwena Rocla (pty) Ltd,"Plot 43162, Phakalane, Gaborone, Botswana",+267 390 4032,https://www.localbotswana.com/company/4096/Kwena_Rocla_pty_Ltd,No description,No,,No,,
Lakisama Accountants & Business Advisors,"Gaborone, Botswana",+267 318 2216,https://www.localbotswana.com/company/6062/Lakisama_Accountants_Business_Advisors,No description,No,,No,,
Laki Sama Consultants (pty) Ltd,"Plot 20742 Unit 6 Blk 3 Industrial Pharathe Cres, Broadhurst Ind, P.O.Box 80745, Gaborone, Botswana",+267 318 2216,https://www.localbotswana.com/company/6063/Laki_Sama_Consultants_pty_Ltd,No description,No,,No,,
Lalik Holdings (pty) Ltd,"Plot 163/4 Unit 22 Market Gardens GICP, Gaborone, Botswana",+267 317 0461,https://www.localbotswana.com/company/3933/Lalik_Holdings_pty_Ltd,No description,No,,No,,
L C M Management & Business Development Consultants (pty) Ltd,"Plot 5196, Old Lobatse Rd, P.O.Box 2272, Gaborone, Botswana",+267 318 0387,https://www.localbotswana.com/company/6098/L_C_M_Management_Business_Development_Consultants_pty_Ltd,No description,No,,No,,
Lejala Electrical (pty) Ltd,"Plot 20733, Pharathe Cres, Broadhurst Ind Est, P.O.Box 20006, Gaborone, Botswana",+267 397 3427,https://www.localbotswana.com/company/4860/Lejala_Electrical_pty_Ltd,No description,No,,No,,
Lengau Holdings (pty) Ltd,"Plot 22038, Gaborone West Ind, P.O.Box 80900, Botswana",+267 395 9680,https://www.localbotswana.com/company/5236/Lengau_Holdings_pty_Ltd,No description,No,,No,,
Lerumo Mogobe Legal Practitioners,"Plot 2935/6 Pudulogo Cres Ext 10, Gaborone, Botswana",+267 397 4002,https://www.localbotswana.com/company/8720/Lerumo_Mogobe_Legal_Practitioners,No description,No,,No,,
Lesedi Boards,"Plot 1237 Haile Selassie Rd, P.O.Box 623, Gaborone, Botswana",+267 397 3387,https://www.localbotswana.com/company/4043/Lesedi_Boards,No description,No,,No,,
Letsema Insurance Brokers,"Plot 73 Commerce Pk, P.O.Box 80045, Gaborone, Botswana",+267 316 6176,https://www.localbotswana.com/company/6033/Letsema_Insurance_Brokers,No description,No,,No,,
Letlhabile English Medium School,"Phase 4, Gaborone West, P.O.Box 2400, Botswana",+267 319 0728,https://www.localbotswana.com/company/8104/Letlhabile_English_Medium_School,No description,No,,No,,
Limit Car Rentals,"Molapo Crossing, P.O.Box 202836, Gaborone, Botswana",+267 393 2825,https://www.localbotswana.com/company/2110/Limit_Car_Rentals,No description,No,,No,,
L & M Project Management,"Plot 181, Queens Rd, Badiri, Gaborone, Botswana",+267 397 2071,https://www.localbotswana.com/company/6641/L_M_Project_Management,No description,No,,No,,
Longman Botswana (pty) Ltd,"Plot 14386, New Lobatse Rd, Gaborone West, P.O.Box 1083, Botswana",+267 392 2969,https://www.localbotswana.com/company/6308/Longman_Botswana_pty_Ltd,No description,No,,No,,
L T S Enteprises,"Unit 8, Nshingo 156 Gaborone International, Commerce Park, P.O.Box 502641, Botswana",+267 316 3311,https://www.localbotswana.com/company/3174/L_T_S_Enteprises,No description,No,,No,,
Luckysky Travelling Agency,"Gaborone, Botswana",+267 393 4733,https://www.localbotswana.com/company/694/Luckysky_Travelling_Agency,No description,No,,No,,
No name,No address,,,No description,No,,No,,
Maharaja Restaurant And Conference Centre,"Plot 17993, Kgololo Rd, P.O.Box 1670, Gaborone, Botswana",+267 391 1060,https://www.localbotswana.com/company/1232/Maharaja_Restaurant_And_Conference_Centre,No description,No,,No,,
Mailing Services (pty) Ltd,"Plot 14446, Kamushongo Rd, Gaborone West I/Est, Botswana",+267 393 1651,https://www.localbotswana.com/company/1720/Mailing_Services_pty_Ltd,No description,No,,No,,
Maintenance Auto Service,"Plot 1019, Main Rd, P.O.Box 33, Gaborone, Botswana",+267 391 6768,https://www.localbotswana.com/company/2129/Maintenance_Auto_Service,No description,No,,No,,
Maja Enterprises,"Plot 5665 /3, Broadhurst Ind Sites, P.O.Box 40689, Gaborone, Botswana",+267 391 3540,https://www.localbotswana.com/company/5194/Maja_Enterprises,No description,No,,No,,
Makunyana Legal Practice,"Commerce Park Plot 102 Unit 14, P.O.Box 40142, Gaborone, Botswana",+267 318 5727,https://www.localbotswana.com/company/8805/Makunyana_Legal_Practice,No description,No,,No,,
Manate,"Gaborone West Ind, P.O.Box 20193, Botswana",+267 390 2451,https://www.localbotswana.com/company/6834/Manate,No description,No,,No,,
Marang Scale Investments (pty) Ltd,"Plot 14462, Kamushongo Rd, Gaborone West I/Est, P.O.Box 1603, Botswana",+267 390 3070,https://www.localbotswana.com/company/5133/Marang_Scale_Investments_pty_Ltd,No description,No,,No,,
Marble Holdings (pty) Ltd T/a Mica Home Centre,"Plot 22038, Takatokwane Way, Gaborone West I/Est, P.O.Box 201003, Botswana",+267 390 0580,https://www.localbotswana.com/company/5617/Marble_Holdings_pty_Ltd_Ta_Mica_Home_Centre,No description,No,,No,,
Market Development Company,"Plot 11 Market Plaza, Mmaraka Rd, Mmaraka Ext 1, P.O.Box 40874, Gaborone, Botswana",+267 318 0050,https://www.localbotswana.com/company/5776/Market_Development_Company,No description,No,,No,,
Marothodin Waterproofing Botswana (pty) Ltd,"Plot 22074 near Seabelo Hse, Gaborone West Ind, P.O.Box 21123, Botswana",+267 318 7905,https://www.localbotswana.com/company/7727/Marothodin_Waterproofing_Botswana_pty_Ltd,No description,No,,No,,
Master Tyre Distributors,"Plot 64 Mogoditshane Bldg, Main Rd, P.O.Box 402908, Gaborone, Botswana",+267 391 5212,https://www.localbotswana.com/company/3131/Master_Tyre_Distributors,No description,No,,No,,
Master Joinery & Aluminium,"Block 3 next to Metsef, P.O.Box 601927, Gaborone, Botswana",+267 393 3154,https://www.localbotswana.com/company/7024/Master_Joinery_Aluminium,No description,No,,No,,
Mast Video Training,"Plot 128/7 Finance Park Kgale Court, P.O.Box 26001, Gaborone, Botswana",+267 397 3361,https://www.localbotswana.com/company/8171/Mast_Video_Training,No description,No,,No,,
Matlala Attorneys,"Suite 2 Pop Inn Building, Gaborone, Botswana",+267 393 7681,https://www.localbotswana.com/company/8795/Matlala_Attorneys,No description,No,,No,,
Mbere Dental Surgery,"Partial Ext 17 Plot 5434, P.O.Box 46486, Gaborone, Botswana",+267 393 1425,https://www.localbotswana.com/company/8574/Mbere_Dental_Surgery,No description,No,,No,,
Mechefs Engineering Services (pty) Ltd,"Plot 20582 Universal Building, P.O.Box 501757, Gaborone, Botswana",+267 316 3777,https://www.localbotswana.com/company/2964/Mechefs_Engineering_Services_pty_Ltd,No description,No,,No,,
Med Projects (pty) Ltd,"Plot 22017 Kqomokasitwa Rd Gaborone West, P.O.Box 70981, Botswana",+267 390 7747,https://www.localbotswana.com/company/6821/Med_Projects_pty_Ltd,No description,No,,No,,
Mefrol Investments (pty) Ltd,"Plot 17972 Suite 341 Hamtsukunu St Gaborone West Ind, Botswana",+267 390 3179,https://www.localbotswana.com/company/1560/Mefrol_Investments_pty_Ltd,No description,No,,No,,
Megasun (pty) Ltd,"Plot 61687 Unit30, Broadhurst Ind, P.O.Box 403292, Gaborone, Botswana",+267 350 0075,https://www.localbotswana.com/company/4788/Megasun_pty_Ltd,No description,No,,No,,
Meggascope Diagnostics,"Legae Centre Mica Way Ext 25 Plot 13128, P.O.Box 405019, Gaborone, Botswana",+267 391 9949,https://www.localbotswana.com/company/5248/Meggascope_Diagnostics,No description,No,,No,,
No name,No address,,,No description,No,,No,,
Mend A Bath International,"Mogoditshane, Gaborone, Botswana",+267 392 2159,https://www.localbotswana.com/company/7428/Mend_A_Bath_International,No description,No,,No,,
Metro Car Sales,"Plot, Molepolole Rd, Mogoditshane, P.O.Box 1264, Gaborone, Botswana",+267 393 3497,https://www.localbotswana.com/company/2188/Metro_Car_Sales,No description,No,,No,,
Micro Computers And Electronic Systems (pty) Ltd,"Unit19 Plot 20582 Universal Hse Western By Pass, P.O.Box 201861, Gaborone, Botswana",+267 390 4441,https://www.localbotswana.com/company/4241/Micro_Computers_And_Electronic_Systems_pty_Ltd,No description,No,,No,,
Micro Peripheral Systems,"Plot 20737 Pharathe Cres, Broadhurst, P.O.Box 158, Gaborone, Botswana",+267 318 6504,https://www.localbotswana.com/company/4331/Micro_Peripheral_Systems,No description,No,,No,,
Milkwood Chemicals & Pest Men,"Phoenix Hse Plot 20737 Mabeleapudi Rd (Behind Segwana), Gaborone, Botswana",+267 390 5188,https://www.localbotswana.com/company/5704/Milkwood_Chemicals_Pest_Men,No description,No,,No,,
Minestone Freight Services,"Block 3 Mokolane Rd Broadhurst Industrial, Broadhurst Ind Est, P.O.Box 41787, Gaborone, Botswana",+267 390 8333,https://www.localbotswana.com/company/5899/Minestone_Freight_Services,No description,No,,No,,
MM World (PTY) Ltd,"P O Box AD49, ADC, Gaborone, Botswana",0026772,https://www.localbotswana.com/company/13909/MM_World_PTY_Ltd,Expert ICT services and solutions tailored for client needs.,No,,No,,
Modern Refrigeration & Air Conditioning (pty) Ltd,"Plot 14462, Kamushongo Rd, Gaborone West I/Est, P.O.Box 1603, Botswana",+267 395 7898,https://www.localbotswana.com/company/4702/Modern_Refrigeration_Air_Conditioning_pty_Ltd,No description,No,,No,,
Mohe Ventures,"Gaborone, Botswana",+267 319 0591,https://www.localbotswana.com/company/1528/Mohe_Ventures,No description,No,,No,,
Moit Consultants,"Plot 684 Unit 7 Main Mall Botswana Rd, P.O.Box 403769, Gaborone",+267 318 7807,https://www.localbotswana.com/company/6065/Moit_Consultants,No description,No,,No,,
Mont Trade,"Plot 22016 UnitA, Gaborone West Ind, Botswana",+267 318 6115,https://www.localbotswana.com/company/4442/Mont_Trade,No description,No,,No,,
Moonlight Pharmacy,"Plot 5394 Village Next to Choppies supermarket, P.O.Box 2059, Gaborone, Botswana",+267 397 5933,https://www.localbotswana.com/company/8502/Moonlight_Pharmacy,No description,No,,No,,
Morara Motors,"Plot No.6672 Next to ""Kays"" Filling Station, Mogoditshane, Gaborone, Botswana",+267 391 2256,https://www.localbotswana.com/company/2454/Morara_Motors,No description,No,,No,,
Morelite Electrical (pty) Ltd,"Plot 1233, Old Lobatse Rd, P.O.Box 880, Gaborone, Botswana",+267 390 6336,https://www.localbotswana.com/company/4842/Morelite_Electrical_pty_Ltd,No description,No,,No,,
Morex Safety Services (pty) Ltd,"Plot 17397 Plaza 14 Hse Extension 14, P.O.Box 50827, Gaborone, Botswana",+267 572 8333,https://www.localbotswana.com/company/6164/Morex_Safety_Services_pty_Ltd,No description,No,,No,,
Mossbee Business Services,"middle star Progress House Office 101, P.O.Box 21153, Gaborone, Botswana",+267 316 1179,https://www.localbotswana.com/company/6247/Mossbee_Business_Services,No description,No,,No,,
Moses Kadye Attorneys,"Plot 22714 Phase4, Gaborone West, P.O.Box 401510, Botswana",+267 316 3174,https://www.localbotswana.com/company/8841/Moses_Kadye_Attorneys,No description,No,,No,,
M & P Agencies,"Plot 10215 Mokolwane Rd, P.O.Box 40349, Gaborone, Botswana",+267 395 1270,https://www.localbotswana.com/company/4148/M_P_Agencies,No description,No,,No,,
M T Garekwe Attorneys,"Plot 104 Unit2 Commerce Pk, P.O.Box 301318, Gaborone, Botswana",+267 390 4123,https://www.localbotswana.com/company/8782/M_T_Garekwe_Attorneys,No description,No,,No,,
Multi-cell Communications,"Shop 25 /6 BBS Mall, P.O.Box 602014, Gaborone, Botswana",+267 390 8004,https://www.localbotswana.com/company/5034/Multi_cell_Communications,No description,No,,No,,
